No.overall,Directed by,No. inseason,Original air date,Prod.code,Title,U.S. viewers(millions),Written and storyboarded by
115,Kat Morris (supervising)Ricky Cometa (art),12,"January 30, 2017[nb 13]",1040-117,"""Adventures in Light Distortion""",1.36,Raven M. Molisee and Paul Villeco[nb 12]
116,Kat Morris (supervising)Ricky Cometa (art),13,"January 31, 2017[nb 13]",1040-118,"""Gem Heist""",1.25,Hilary Florido and Jesse Zuke
117,Joe Johnston (supervising)Ricky Cometa and Elle Michalka (art),14,"February 1, 2017[nb 13]",1040-119,"""The Zoo""",1.23,Lamar Abrams and Katie Mitroff
118,Joe Johnston (supervising)Ricky Cometa and Elle Michalka (art),15,"February 2, 2017[nb 13]",1040-120,"""That Will Be All""",1.15,"Colin Howard, Joe Johnston, and Rebecca Sugar"
119,Kat Morris (supervising)Ricky Cometa (art),16,"February 10, 2017",1040-121,"""The New Crystal Gems""",1.06,Raven M. Molisee and Paul Villeco
120,Joe Johnston (supervising)Ricky Cometa (art),17,"February 17, 2017",1040-124,"""Storm in the Room""",1.02,Colin Howard and Jeff Liu
121,Kat Morris (supervising)Ricky Cometa (art),18,"February 24, 2017",1040-122,"""Rocknaldo""",1.10,Hilary Florido and Jesse Zuke
122,Joe Johnston (supervising)Ricky Cometa (art),19,"March 3, 2017",1040-123,"""Tiger Philanthropist""",0.90,Lamar Abrams and Katie Mitroff
123,Kat Morris (supervising)Ricky Cometa (art),20,"March 10, 2017",1040-125,"""Room for Ruby""",0.95,Raven M. Molisee and Jesse Zuke
124,Kat Morris (supervising)Elle Michalka (art),21,"May 8, 2017[nb 14]",1040-126,"""Lion 4: Alternate Ending""",1.01,Hilary Florido and Paul Villeco
125,Joe Johnston (supervising)Elle Michalka (art),22,"May 9, 2017[nb 14]",1040-127,"""Doug Out""",0.96,Lamar Abrams and Katie Mitroff
126,Joe Johnston (supervising)Elle Michalka (art),23,"May 10, 2017[nb 14]",1040-128,"""The Good Lars""",0.95,Colin Howard and Jeff Liu
127,Kat Morris (supervising)Elle Michalka (art),24,"May 11, 2017[nb 14]",1040-129,"""Are You My Dad?"" (Part 1)",1.14,Raven M. Molisee and Jesse Zuke
128,Kat Morris (supervising)Elle Michalka (art),25,"May 11, 2017[nb 14]",1040-130,"""I Am My Mom"" (Part 2)",1.14,Hilary Florido and Paul Villeco
129,Kat Morris (supervising)Liz Artinian (art),1,"May 29, 2017[nb 15]",,"""Stuck Together"" (Part 1)",1.53,Jesse Zuke
130,Joe Johnston (supervising)Liz Artinian (art),2,"May 29, 2017",,"""The Trial"" (Part 2)",1.53,Katie Mitroff and Paul Villeco
131,Joe Johnston (supervising)Liz Artinian (art),3,"May 29, 2017",,"""Off Colors"" (Part 3)",1.52,Lamar Abrams and Jeff Liu
132,Kat Morris (supervising)Liz Artinian (art),4,"May 29, 2017",,"""Lars' Head"" (Part 4)",1.52,Jeff Liu and Madeline Queripel
133,Joe Johnston (supervising)Liz Artinian (art),5,"December 15, 2017[nb 16]",,"""Dewey Wins""",0.85,Lamar Abrams and Jeff Liu
134,Kat Morris (supervising)Liz Artinian (art),6,"December 15, 2017[nb 16]",,"""Gemcation""",0.85,Madeline Queripel and Jesse Zuke
135,Kat Morris (supervising)Liz Artinian (art),7,"December 22, 2017[nb 16]",,"""Raising the Barn""",0.89,Amber Cragg and Hilary Florido
136,Joe Johnston (supervising)Liz Artinian (art),8,"December 22, 2017[nb 16]",,"""Back to the Kindergarten""",0.89,Katie Mitroff and Paul Villeco
137,Joe Johnston (supervising)Liz Artinian (art),9,"December 29, 2017[nb 16]",,"""Sadie Killer""",0.77,Lamar Abrams and Jeff Liu
138,Kat Morris (supervising)Liz Artinian (art),10,"December 29, 2017[nb 16]",,"""Kevin Party""",0.77,Amber Cragg and Hilary Florido
139,Kat Morris (supervising)Liz Artinian (art),11,"January 5, 2018",,"""Lars of the Stars"" (Part 1)",1.11,Lamar Abrams and Jesse Zuke
140,Joe Johnston (supervising)Liz Artinian (art),12,"January 5, 2018",,"""Jungle Moon"" (Part 2)",1.11,Miki Brewster and Jeff Liu
141,Joe Johnston (supervising)Liz Artinian (art),13,"April 9, 2018[nb 17]",,"""Your Mother and Mine""",0.77,Katie Mitroff and Paul Villeco
142,Kat Morris (supervising)Liz Artinian (art),14,"April 16, 2018[nb 17]",,"""The Big Show""",0.56,Hilary Florido and Amber Cragg
143,Joe Johnston (supervising)Liz Artinian (art),15,"April 23, 2018[nb 17]",,"""Pool Hopping""",0.54,"Katie Mitroff, Paul Villeco, and Joe Johnston"
144,Kat Morris (supervising)Liz Artinian (art),16,"April 30, 2018[nb 17]",,"""Letters to Lars""",0.40,Lamar Abrams and Colin Howard
145,Joe Johnston (supervising)Liz Artinian (art),17,"May 7, 2018",,"""Can't Go Back"" (Part 1)",0.74,Miki Brewster and Jeff Liu
146,Kat Morris (supervising)Liz Artinian (art),18,"May 7, 2018",,"""A Single Pale Rose"" (Part 2)",0.74,Amber Cragg and Hilary Florido
147,Kat Morris (supervising)Liz Artinian (art),19,"July 2, 2018",,"""Now We're Only Falling Apart""",0.84,Lamar Abrams and Christine Liu
148,Joe Johnston (supervising)Liz Artinian (art),20,"July 3, 2018",,"""What's Your Problem""",0.93,Katie Mitroff and Paul Villeco
149,Joe Johnston (supervising)Liz Artinian (art),21,"July 4, 2018",,"""The Question""",0.71,Miki Brewster and Jeff Liu
150,Kat Morris (supervising)Liz Artinian (art),22,"July 5, 2018",,"""Made of Honor""",0.83,Lamar Abrams and Christine Liu
