,No.overall,Directed by,No. inseason,date,Prod.code,episode,Viewers_millions,Written and storyboarded by
45,46,Ian Jones-Quartey (supervising)Elle Michalka (art),46[4],2015-03-19,1026-046,"""Open Book""",1.73,Hilary Florido and Katie Mitroff
46,47,Ian Jones-Quartey (supervising)Elle Michalka (art),47[4],2015-04-16,1026-047,"""Shirt Club""[nb 3]",1.42,Lamar Abrams and Hellen Jo
47,48,Elle Michalka and Jasmin Lai (art),48[4],2015-04-02,1031-056,"""Say Uncle""[nb 4]",1.93,Joe Johnston and Jeff Liu
48,49,Ian Jones-Quartey (supervising)Elle Michalka (art),49[4],2015-04-09,1026-048,"""Story for Steven""[nb 3]",2.0,Joe Johnston and Jeff Liu
49,50,Ian Jones-Quartey (supervising)Elle Michalka (art),50,2015-03-10,1026-049,"""The Message""",1.3,Lamar Abrams and Hellen Jo
50,51,Ian Jones-Quartey (supervising)Elle Michalka (art),51,2015-03-11,1026-050,"""Political Power""",1.42,Hilary Florido and Katie Mitroff
51,52,Ian Jones-Quartey (supervising)Elle Michalka (art),52,2015-03-12,1026-051,"""The Return"" (Part 1)",1.7,Raven M. Molisee and Paul Villeco
52,53,Ian Jones-Quartey (supervising)Elle Michalka (art),53,2015-03-12,1026-052,"""Jail Break"" (Part 2)",1.7,"Joe Johnston, Jeff Liu, and Rebecca Sugar"
53,54,Elle Michalka and Jasmin Lai (art),1,2015-03-13,1031-053,"""Full Disclosure""[nb 5]",1.52,Raven M. Molisee and Paul Villeco
54,55,Jasmin Lai (art),2,2015-03-26,1031-054,"""Joy Ride""[nb 5]",1.34,Hilary Florido and Katie Mitroff
55,56,Jasmin Lai (art),3,2015-04-23,1031-055,"""Love Letters""",1.67,Lamar Abrams and Hellen Jo
56,57,Jasmin Lai (art),4,2015-04-30,1031-057,"""Reformed""",1.39,Raven M. Molisee and Paul Villeco
57,58,Ian Jones-Quartey (supervising)Jasmin Lai (art),5,2015-06-15,1031-060,"""Sworn to the Sword""",1.98,Joe Johnston and Jeff Liu
58,59,Jasmin Lai (art),6,2015-06-16,1031-059,"""Rising Tides, Crashing Skies""",1.82,Lamar Abrams and Hellen Jo
59,60,Jasmin Lai (art),7,2015-06-17,1031-061,"""Keeping It Together""",1.8,Raven M. Molisee and Paul Villeco
60,61,Jasmin Lai (art),8,2015-06-18,1031-062,"""We Need to Talk""",1.73,"Hilary Florido, Katie Mitroff, and Rebecca Sugar"
61,62,Jasmin Lai (art),9,2015-06-19,1031-063,"""Chille Tid""",1.9,Lamar Abrams and Jesse Zuke
62,63,Jasmin Lai (art),10,2015-07-13,1031-064,"""Cry for Help""",1.71,Joe Johnston and Jeff Liu
63,64,Jasmin Lai (art),11,2015-07-14,1031-065,"""Keystone Motel""",1.73,"Raven M. Molisee, Paul Villeco, and Rebecca Sugar"
